id,sales_id,product_id,quantity
80,46,70,1
81,46,80,1
82,47,66,1
83,47,63,1
84,47,82,1
85,47,84,1
86,48,62,1
87,48,78,1
88,48,63,1
89,49,70,1
90,49,73,2
91,49,78,1
92,49,80,1
93,50,63,2
94,50,78,1
95,50,84,1
96,51,70,2
97,51,82,1
98,51,74,2
99,51,72,2
100,52,73,2
101,52,84,1
102,53,82,1
103,53,63,1
104,53,74,1
105,53,72,1
106,54,67,1
107,54,66,1
108,54,76,1
109,55,80,1
110,55,73,1
111,55,63,1
112,55,70,1
113,56,74,1
114,56,82,1
115,56,66,3
116,57,69,2
117,57,75,1
118,57,81,1
119,57,83,1
120,58,71,1
121,58,76,1
122,58,84,1
123,58,72,2
124,59,78,1
125,59,63,2
126,59,80,1
127,59,74,1
128,60,74,2
129,60,72,1
130,60,73,1
131,61,82,1
132,61,74,1
133,61,72,1
134,62,69,1
135,62,85,1
136,62,80,1
137,63,70,1
138,63,80,1
139,64,72,1
140,64,77,1
141,65,80,1
142,65,71,1
143,65,76,1
144,66,72,1
145,66,66,1
146,66,78,1
147,67,72,1
148,67,74,1
149,67,84,1
150,68,70,1
151,68,82,1
152,69,71,1
153,69,77,1
154,69,81,2
155,70,78,1
156,70,84,1
157,70,74,1
158,71,63,1
159,71,82,1
160,71,72,1
